datetime,duration,glucose
2020-02-23 16:18:33,39.338541666666664,116.0
2020-02-23 16:23:31,39.338541666666664,117.0
2020-02-23 16:28:32,39.338541666666664,117.0
2020-02-23 16:33:31,39.338541666666664,117.0
2020-02-23 16:38:31,39.338541666666664,117.0
2020-02-23 16:43:32,39.338541666666664,117.0
2020-02-23 16:48:31,39.338541666666664,117.0
2020-02-23 16:53:32,39.338541666666664,118.0
2020-02-23 16:58:32,39.338541666666664,120.0
2020-02-23 17:03:32,39.338541666666664,121.0
2020-02-23 17:08:32,39.338541666666664,121.0
2020-02-23 17:13:32,39.338541666666664,122.0
2020-02-23 17:18:32,39.338541666666664,123.0
2020-02-23 17:23:32,39.338541666666664,124.0
2020-02-23 17:28:32,39.338541666666664,125.0
2020-02-23 17:33:32,39.338541666666664,125.0
2020-02-23 17:38:32,39.338541666666664,125.0
2020-02-23 17:43:32,39.338541666666664,125.0
2020-02-23 17:48:32,39.338541666666664,125.0
2020-02-23 17:53:32,39.338541666666664,125.0
