datetime,duration,glucose
2020-02-24 21:01:40,34.578125,114.0
2020-02-24 21:06:40,34.578125,109.0
2020-02-24 21:11:40,34.578125,105.0
2020-02-24 21:16:40,34.578125,103.0
2020-02-24 21:21:40,34.578125,99.0
2020-02-24 21:26:40,34.578125,93.0
2020-02-24 21:31:40,34.578125,89.0
2020-02-24 21:36:40,34.578125,87.0
2020-02-24 21:41:40,34.578125,87.0
2020-02-24 21:46:40,34.578125,87.0
2020-02-24 21:51:40,34.578125,88.0
2020-02-24 21:56:40,34.578125,90.0
2020-02-24 22:01:40,34.578125,92.0
2020-02-24 22:06:41,34.578125,98.0
2020-02-24 22:11:41,34.578125,106.0
2020-02-24 22:16:41,34.578125,114.0
2020-02-24 22:21:41,34.578125,119.0
2020-02-24 22:26:41,34.578125,120.0
2020-02-24 22:31:41,34.578125,120.0
